"Player","Team","FG","FGA","XPT","FPTS"
"Greg Zuerlein","LAR","2.2","2.5","3.7","10.3"
"Stephen Gostkowski","NE","2.1","2.3","3.0","9.2"
"Harrison Butker","KC","1.9","2.1","3.5","9.1"
"Ka'imi Fairbairn","HOU","2.1","2.5","2.4","8.8"
"Randy Bullock","CIN","1.9","2.2","2.9","8.5"
"Chris Boswell","PIT","1.8","2.2","3.1","8.5"
"Cody Parkey","CHI","1.9","2.2","2.7","8.4"
"Justin Tucker","BAL","2.0","2.2","2.4","8.3"
"Dan Bailey","MIN","1.9","2.3","2.6","8.3"
"Adam Vinatieri","IND","1.8","2.1","2.9","8.2"
"Wil Lutz","NO","1.8","2.0","2.7","8.1"
"Mason Crosby","GB","1.8","2.1","2.4","7.9"
"Robbie Gould","SF","1.9","2.1","2.1","7.9"
"Aldrick Rosas","NYG","2.0","2.2","2.0","7.9"
"Matt Prater","DET","1.8","2.1","2.6","7.8"
"Sebastian Janikowski","SEA","1.8","2.1","2.4","7.8"
"Daniel Carlson","OAK","1.8","2.2","2.4","7.6"
"Dustin Hopkins","WAS","1.8","2.1","2.2","7.6"
"Chandler Catanzaro","TB","1.7","2.0","2.4","7.6"
"Brandon McManus","DEN","1.8","2.0","2.2","7.6"
"Jake Elliott","PHI","1.8","2.2","2.0","7.4"
"Graham Gano","CAR","1.8","2.0","2.0","7.4"
"Jason Myers","NYJ","1.8","2.0","1.8","7.2"
"Josh Lambo","JAC","1.7","1.9","1.9","7.1"
"Greg Joseph","CLE","1.7","1.9","1.9","6.8"
"Phil Dawson","ARI","1.5","1.8","2.0","6.5"
"Steven Hauschka","BUF","1.5","1.6","1.5","5.8"
"Jason Sanders","MIA","1.3","1.5","2.0","5.8"
"Eddy Pineiro","OAK","0.0","0.0","0.0","0.0"
""
""